sno,model_name,path,id,signals,constants,description_model_name,descripton,requirement,bucket
1,Lux_Model,./Lux_Model/,Lux_Req_1_1,w_sat,T=86400, SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",The angular velocity of the satellite should always be lower than 1.5 m/s,1
2,Lux_Model,./Lux_Model/,Lux_Req_1_2,q_estimate,T=86400, SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",The estimated altitude of the satellite should be always equal to 1,1
3,Lux_Model,./Lux_Model/,Lux_Req_1_3,torque,T=86400, SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",the maximum reaction torque must be equal to 0.015 Nm,1
4,Lux_Model,./Lux_Model/,Lux_Req_1_4,"q_error,q_target,q_real,q_estimate",T=86400, SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",The satellite should reach the desired position within 2700 s,2
5,Lux_Model,./Lux_Model/,Lux_Req_1_4_1,"q_real,q_estimate",T=86400, SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",The satellite should estimates its position correctly within 2000 s,2
6,Lux_Model,./Lux_Model/,Lux_Req_1_5,"sm,q_real,q_estimate",T=86400, SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ","After the satellite enters the safe pin mode , the satellite should reach the desired position within 2000 s, the difference between qreal and qtarget at t= 2000s should be close to 0",97
7,Lux_Model,./Lux_Model/,Lux_Req_2_1,"KE,CE,PE","T=86400,", SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",The satellite shall constantly keep its attitude pointing towards the earth,3
8,Lux_Model,./Lux_Model/,Lux_Req_2_2,rw_h,T=86400, SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",The angular momentum of each reaction wheel should not exceed 0.2 at any time.,97
9,Autopilot_Model,./Autopilot/,Autopilot_Req_1_1,"APEng,AilCmd",T=200000, Autopilot model,A full six degree of freedom simulation of a single-engined high-wing propeller-driven airplane with autopilot.A six degree of freedom simulation enables movement and rotation of a rigid body in three-dimensional space.,When the pilot selects the autopilot engage switch in the cockpit then roll autopilot shall engage and when the switch is deselected then the autopilot shall disengage and when is not egaged then the command to the roll actuator shall be zero,99c
10,Autopilot_Model,./Autopilot/,Autopilot_Req_1_2,"APEng,isRoll,HDGMode,ALTMode",T=200000, Autopilot model,A full six degree of freedom simulation of a single-engined high-wing propeller-driven airplane with autopilot.A six degree of freedom simulation enables movement and rotation of a rigid body in three-dimensional space.,"When the autopilot is engaged ∧ no other lateral mode (HDG Mode, ALT Mode) is activeThen roll hold mode shall be the active mode.",99c
